Phím tắt để mở túi đồ là tổ hợp phím nào?|Alt+E|Alt+D|Alt+Q
Phím tắt để mở bản đồ khu vực là tổ hợp phím nào?|Alt+D|Alt+E|Alt+Q
Phím tắt để mở giao diện nhiệm vụ là tổ hợp phím nào?|Alt+Q|Alt+E|Alt+D
Phím tắt để mở giao diện thú cưng là tổ hợp phím nào?|Alt+R|Alt+T|Alt+B
Phím tắt để mở giao diện bang hội là tổ hợp phím nào?|Alt+B|Alt+T|Alt+R
Phím tắt để tạo đội nhanh là tổ hợp phím nào?|Alt+T|Alt+B|Alt+R
Khi có người lạ gửi tin nhắn cho bạn: nói bạn trúng giải|Kiên quyết không tin và báo cáo GM|Nửa tin nửa ngờ|Tin tưởng và liên hệ với đối phương
Phím tắt để mở bản đồ thế giới là tổ hợp phím nào?|Alt+M|Alt+V|Alt+F
Phím tắt để mở giao diện kỹ năng là tổ hợp phím nào?|Alt+V|Alt+M|Alt+F
Phím tắt để mở giao diện bạn bè là tổ hợp phím nào?|Alt+F|Alt+V|Alt+M
Trước khi bắt thú cưng, trong túi đồ phải có vật phẩm nào?|Dây thần|Giấy bùa|Đậu nành
Phím nóng để chuyển đổi giữa chế độ toàn màn hình và cửa sổ là|Alt+Enter|Shift+Enter|Ctrl+Enter
Phím nóng để mở giao diện Thiết lập hệ thống là gì?|Alt+S|Alt+H|Ctrl+H
Phím nóng để mở hệ thống trợ giúp là gì?|Alt+H|Alt+M|Alt+F
Phím tắt để ẩn giao diện là gì?  |Alt+C|Alt+B|Alt+V
Phím nóng để xem trạng thái và trang bị nhân vật là gì?|Alt+W|Alt+B|Alt+T
Phím tắt để cho đồ là gì?|Alt+G|Alt+E|Alt+H
Phím tắt để Giao dịch là gì?|Alt+X|Alt+G|Alt+C
Phím nóng để chuyển đổi thanh phím tắt là gì?|Alt+A/Z|Alt+C/D|Alt+Q/W
Phím nóng để chuyển đổi khóa mục tiêu là gì?|Tab|Shift|Alt
Phím nóng để mở biểu tượng cảm xúc chat là gì?|Alt+~|Alt+R|Alt+V
Phím nóng để chặn người chơi khác là gì?|F11|F10|F12
Phím nóng để ngồi xuống là gì?|Alt+2|Alt+3|Alt+4
Phím nóng để sao chép ID người chơi được chỉ định bởi chuột là gì?|Ctrl+C|Alt+C|Shift+C
Phím nóng để dán ID người chơi vào khung chat là gì?|Ctrl+V|Alt+V|Alt+C
Phím nóng để hiển thị tên tất cả vật phẩm là gì?|Alt|Shift|Ctrl
Phím nóng để xem thông tin tóm tắt người chơi là gì?|Ctrl+左键|Ctrl+右键|Alt+右键
Phím nóng để xem trang bị của người chơi mục tiêu là gì?|Ctrl+右键|Alt+右键|Shift+右键
Phím nóng để sao chép vật phẩm vào khung chat là gì?|Shift+左键|Shift+右键|Ctrl+右键
Phím nóng để nhấp vào tên người chơi trong khung chat sẽ hiện menu thả xuống là gì?|Shift+右键|Shift+左键|Ctrl+右键
Phím nóng để khôi phục tất cả menu về giá trị mặc định là gì?|F12|F10|F11
Phím tắt cho tư thế nằm xuống là gì?|Alt+4|Alt+5|Alt+6
Phím tắt cho tư thế tấn công là gì?|Alt+1|Alt+2|Alt+3
Phím tắt cho tư thế chạy là gì?|Alt+7|Alt+6|Alt+8
Phím tắt cho tư thế chuẩn bị chiến đấu là gì?|Alt+8|Alt+7|Alt+6
Phím nóng để điều khiển thú cưng tấn công là gì?|Ctrl+1|Shift+1|Alt+1
Phím nóng để chụp ảnh màn hình game là gì?|Print Screen|Scroll Lock|Pause
Phím nóng để thú cưng theo dõi là gì?|Ctrl+2|Ctrl+1|Ctrl+3
Thuốc tăng 200 điểm khí huyết là gì?|Hành quân tán|Hoạt lạc hoàn|An thần hoàn
Thuốc tăng 400 điểm khí huyết là gì?|Hoạt lạc hoàn|Hành quân tán|An thần hoàn
Thuốc tăng 450 điểm pháp lực là gì?|An thần hoàn|Chính khí tán|Tạo hóa đan
Ở đâu có thể gửi tiền?|Chủ tiệm cầm đồ|Chủ quán rượu|Thư lại
Túi đồ có bao nhiêu ô trống?|24|20|26
Tìm được vật phẩm nhiệm vụ phải giao cho ai mới nhận được phần thưởng?|Đội trưởng vệ binh|Lão trưởng thôn|Lý đại bá
Trang bị không đủ độ bền, có thể tìm ai sửa chữa?|Chủ tiệm sửa chữa|Chủ tiệm vũ khí|Chủ tiệm quần áo
Nơi nào dưới đây không thể nhận được vật phẩm nhiệm vụ?|Chu quốc|U cốc|Thôn mới
Thuốc có thể mua ở chủ tiệm thuốc là?|Hoạt lạc hoàn|Hoạt tâm đan|Cứu cấp đan
Đến đâu có thể mua bảo hiểm?|Chu vương|Thân công báo|Thần tiên ông
Ở thôn mới tìm ai có thể thiết lập quan hệ sư đồ?|Mạnh tử|Lão trưởng thôn|Thần tiên ông
Dưới đây ai không thể hỏi được nơi mua trang bị môn phái?|Chủ tiệm thuốc|Sư phụ|Chủ tiệm vũ khí
Cấp bao nhiêu mới có thể nhận phiêu ở Uất Trì lão phiêu đầu?|30|20|40
Ở đâu có thể tinh luyện trang bị và hợp thành tinh thạch?|Công Thâu Ban|Chủ tiệm vũ khí|Thân công báo
Phong yêu kính yêu cầu trang bị xanh tối thiểu cấp bao nhiêu?|15|25|35
Cấp bao nhiêu có thể nhận nhiệm vụ sư môn?|10|15|20
Nhiệm vụ vận phiêu tiền đặt cọc tối thiểu là bao nhiêu?|6 vạn|4 vạn|8 vạn
Ở đâu có thể nhận kinh nghiệm gấp đôi?|Thần tiên ông|Sư phụ môn phái|Công đức lão nhân
Ở đâu có thể bày hàng?|Chợ Chu quốc|Đàn tế Chu quốc|Thôn mới
Ai biết vị trí cụ thể của thương nhân du lịch?|Chủ quán rượu|Chủ tiệm tạp hóa|Chủ tiệm thuốc
Cấp bao nhiêu mới có thể thành lập bang hội?|40|30|50
Ở đâu có thể kết hôn?|Nguyệt lão|Hồng nương|Thần tiên ông
Ở đâu có thể học kỹ năng luyện đan?|Ngụy quốc|Hàn quốc|Triệu quốc
Ở đâu có thể học kỹ năng thợ rèn?|Tần quốc|Sở quốc|Yên quốc
Ở đâu có thể học kỹ năng dược sĩ?|Triệu quốc|Yên quốc|Hàn quốc
Ở đâu có thể học kỹ năng khai thác mỏ?|Yên quốc|Triệu quốc|Tề quốc
Ở đâu có thể học kỹ năng cơ quan?|Tề quốc|Triệu quốc|Hàn quốc
Ở đâu có thể học kỹ năng may vá?|Hàn quốc|Tần quốc|Ngụy quốc
Ở đâu có thể học kỹ năng khắc đá?|Sở quốc|Yên quốc|Triệu quốc
Ở đâu có thể học kỹ năng nấu rượu?|Chu quốc|Tề quốc|Sở quốc
Nhiệm vụ thư lại chủ yếu nhận được gì?|tiềm năng|Kinh nghiệm|Ngân lượng
Nhiệm vụ sư môn chủ yếu nhận được gì?|Kinh nghiệm|tiềm năng|Ngân lượng
Cấp độ kỹ năng người chơi không thể vượt quá cấp độ bản thân bao nhiêu?|10|5|15
Tìm ai có thể từ bỏ kỹ năng sinh hoạt?|Thân công báo|Thần tiên ông|Sư phụ môn phái
10
